"person","name","birthdate","birthplace","deathdate","deathplace"
"http://collection.cartermuseum.org/id/person-institution/jacob_eicholtz","Jacob Eicholtz","1776","Lancaster, Pennsylvania","1842","Lancaster, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/nell_dorr","Nell Dorr","1893","Cleveland, Ohio","1988","Litchfield, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/frederick_arthur_verner","Frederick Arthur Verner","1836","Sheridan, Ontario, Canada","1928","London, England"
"http://collection.cartermuseum.org/id/person-institution/james_mcneill_whistler","James McNeill Whistler","1834","Lowell, Massachusetts","1903","London, England"
"http://collection.cartermuseum.org/id/person-institution/john_singer_sargent","John Singer Sargent","1856","Florence, Italy","1925","London, England"
"http://collection.cartermuseum.org/id/person-institution/thomas_charles_farrer","Thomas Charles Farrer","1839","London, England","1891","London, England"
"http://collection.cartermuseum.org/id/person-institution/william_henry_johnson","William Henry Johnson","1901","Florence, South Carolina","1970","Long Island, New York"
"http://collection.cartermuseum.org/id/person-institution/edward_s._curtis","Edward S. Curtis","1868","White Water, Wisconsin","1952","Los Angeles, California"
"http://collection.cartermuseum.org/id/person-institution/karl_struss","Karl Struss","1886","New York, New York","1981","Los Angeles, California"
"http://collection.cartermuseum.org/id/person-institution/clara_sipprell","Clara Sipprell","1885","Tillsonburg, Ontario, Canada","1975","Manchester, Vermont"
"http://collection.cartermuseum.org/id/person-institution/ammi_phillips","Ammi Phillips","1788","Colebrook, Connecticut","1865","Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/mary_cassatt","Mary Cassatt","1844","Pittsburgh, Pennsylvania","1926","Mesnil-Theribus, Oise, France"
"http://collection.cartermuseum.org/id/person-institution/tina_modotti","Tina Modotti","1896","Udine, Italy","1942","Mexico City, Mexico"
"http://collection.cartermuseum.org/id/person-institution/ernest_lawson","Ernest Lawson","1873","Halifax, Nova Scotia, Canada","1939","Miami Beach, Florida"
"http://collection.cartermuseum.org/id/person-institution/thaddeus_mortimer_fowler","Thaddeus Mortimer Fowler","1842","Lowell, Massachusetts","1922","Middletown, New York"
"http://collection.cartermuseum.org/id/person-institution/henry_wellge","Henry Wellge","1850","Germany","1917","Milwaukee, Wisconsin"
"http://collection.cartermuseum.org/id/person-institution/john_haberle","John Haberle","1856","New Haven, Connecticut","1933","New Haven, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/arnold_genthe","Arnold Genthe","1869","Berlin, Germany","1942","New Milford, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/adrien_mayers","Adrien Mayers","1801","France ","1833","New Orleans, Louisiana"
"http://collection.cartermuseum.org/id/person-institution/frances_benjamin_johnston","Frances Benjamin Johnston","1864","Grafton, West Virginia","1952","New Orleans, Louisiana"
"http://collection.cartermuseum.org/id/person-institution/james_carter_beard","James Carter Beard","1837","Cincinnati, Ohio","1913","New Orleans, Louisiana"
"http://collection.cartermuseum.org/id/person-institution/albert_bierstadt","Albert Bierstadt","1830","Solingen, Germany","1902","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/albertus_van_beest","Albertus van Beest","1820","Rotterdam, Holland","1860","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/alfred_stieglitz","Alfred Stieglitz","1864","Hoboken, New Jersey","1946","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/arthur_wesley_dow","Arthur Wesley Dow","1857","Ipswich, Massachusetts","1922","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/ben_shahn","Ben Shahn","1898","Kovno, Lithuania","1969","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/bessie_potter_vonnoh","Bessie Potter Vonnoh","1872","St. Louis, Missouri","1955","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/carl_holty","Carl Holty","1900","Freiburg, Germany","1973","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/eastman_johnson","Eastman Johnson","1824","Lovell, Maine","1906","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/edward_hopper","Edward Hopper","1882","Nyack, New York","1967","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/elie_nadelman","Elie Nadelman","1882","Warsaw, Poland","1946","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/francis_augusta_silva","Francis Augusta Silva","1835","New York, New York","1886","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/frederic_edwin_church","Frederic Edwin Church","1826","Hartford, Connecticut","1900","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/frederick_william_macmonnies","Frederick William MacMonnies","1863","Brooklyn, New York","1937","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/george_bellows","George Bellows","1882","Columbus, Ohio","1925","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/henry_merwin_shrady","Henry Merwin Shrady","1871","New York, New York","1922","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/james_david_smillie","James David Smillie","1833","New York, New York","1909","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_frederick_kensett","John Frederick Kensett","1816","Cheshire, Connecticut","1872","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_la_farge","John La Farge","1835","New York, New York","1910","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_quincy_adams_ward","John Quincy Adams Ward","1830","Urbana, Ohio","1910","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_rubens_smith","John Rubens Smith","1775","London, England","1849","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_woodhouse_audubon","John Woodhouse Audubon","1812","Henderson, Kentucky","1862","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/john_xceron","John Xceron","1890","Isari Likosouros, Greece","1967","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/joseph_stella","Joseph Stella","1877","Muro Lucano, Italy","1946","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/louise_nevelson","Louise Nevelson","1899","Perislav, Russia","1988","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/nicolino_calyo","Nicolino Calyo","1799","Naples, Italy","1884","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/sanford_robinson_gifford","Sanford Robinson Gifford","1823","Greenfield, New York","1880","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/stuart_davis","Stuart Davis","1892","Philadelphia, Pennsylvania","1964","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/willard_leroy_metcalf","Willard LeRoy Metcalf","1858","Lowell, Massachusetts","1925","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/william_bradford","William Bradford","1823","Fairhaven, Massachusetts","1892","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/william_henry_jackson","William Henry Jackson","1843","Keeseville, New York","1942","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/william_jacob_hays_sr.","William Jacob Hays, Sr.","1830","New York, New York","1875","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/william_merritt_chase","William Merritt Chase","1849","Franklin, Indiana","1916","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/william_michael_harnett","William Michael Harnett","1848","Clonakilty, Ireland","1892","New York, New York"
"http://collection.cartermuseum.org/id/person-institution/henry_kirke_brown","Henry Kirke Brown","1814","Leyden, Massachusetts","1886","Newburgh, New York"
"http://collection.cartermuseum.org/id/person-institution/james_william_abert","James William Abert","1820","Mount Holly, New Jersey","1871","Newport, Kentucky"
"http://collection.cartermuseum.org/id/person-institution/william_trost_richards","William Trost Richards","1833","Philadelphia, Pennsylvania","1905","Newport, Rhode Island"
"http://collection.cartermuseum.org/id/person-institution/charles_prendergast","Charles Prendergast","1863","Boston, Massachusetts","1948","Norwalk, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/morris_kantor","Morris Kantor","1896","Minsk, Russia","1974","Nyack, New York"
"http://collection.cartermuseum.org/id/person-institution/anton_schonborn","Anton Schonborn","1829","Germany","1871","Omaha, Nebraska"
"http://collection.cartermuseum.org/id/person-institution/william_j._mccloskey","William J. McCloskey","1859","Philadelphia, Pennsylvania","1941","Orange, California"
"http://collection.cartermuseum.org/id/person-institution/alexander_proctor","Alexander Proctor","1860","Bosanquet, Ontario, Canada","1950","Palo Alto, California"
"http://collection.cartermuseum.org/id/person-institution/herbert_haseltine","Herbert Haseltine","1877","Rome, Italy","1962","Paris, France"
"http://collection.cartermuseum.org/id/person-institution/paul_wayland_bartlett","Paul Wayland Bartlett","1865","New Haven, Connecticut","1925","Paris, France"
"http://collection.cartermuseum.org/id/person-institution/hugh_henry_breckenridge","Hugh Henry Breckenridge","1870","Leesburg, Virginia","1937","Philadelphia, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/morton_livingston_schamberg","Morton Livingston Schamberg","1881","Philadelphia, Pennsylvania","1918","Philadelphia, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/peter_moran","Peter Moran","1841","Bolton, England","1914","Philadelphia, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/thomas_eakins","Thomas Eakins","1844","Philadelphia, Pennsylvania","1916","Philadelphia, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/thomas_hovenden","Thomas Hovenden","1840","Dunmanway, Ireland","1895","Plymouth Meeting, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/winslow_homer","Winslow Homer","1836","Boston, Massachusetts","1910","Prouts Neck, Maine"
"http://collection.cartermuseum.org/id/person-institution/alvin_langdon_coburn","Alvin Langdon Coburn","1882","Boston, Massachusetts","1966","Rhos-on-Sea, Wales"
"http://collection.cartermuseum.org/id/person-institution/frederic_remington","Frederic Remington","1861","Canton, New York","1909","Ridgefield, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/william_stanley_haseltine","William Stanley Haseltine","1835","Philadelphia, Pennsylvania","1900","Rome, Italy"
"http://collection.cartermuseum.org/id/person-institution/edward_everett","Edward Everett","1818","London, England","1903","Roxbury, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/julian_onderdonk","Julian Onderdonk","1882","San Antonio, Texas","1922","San Antonio, Texas"
"http://collection.cartermuseum.org/id/person-institution/carleton_e._watkins","Carleton E. Watkins","1829","Oneonta, New York","1916","San Francisco, California"
"http://collection.cartermuseum.org/id/person-institution/meyer_straus","Meyer Straus","1831","Germany","1905","San Francisco, California"
"http://collection.cartermuseum.org/id/person-institution/marion_post_wolcott","Marion Post Wolcott","1910","Montclair, New Jersey","1990","Santa Barbara, California"
"http://collection.cartermuseum.org/id/person-institution/thomas_moran","Thomas Moran","1837","Bolton, England","1926","Santa Barbara, California"
"http://collection.cartermuseum.org/id/person-institution/georgia_okeeffe","Georgia O'Keeffe","1887","Sun Prairie, Wisconsin","1986","Santa Fe, New Mexico"
"http://collection.cartermuseum.org/id/person-institution/laura_gilpin","Laura Gilpin","1891","Colorado Springs, Colorado","1979","Santa Fe, New Mexico"
"http://collection.cartermuseum.org/id/person-institution/wells_moses_sawyer","Wells Moses Sawyer","1863","Keokuk, Iowa","1961","Sarasota, Florida"
"http://collection.cartermuseum.org/id/person-institution/eli_sheldon_glover","Eli Sheldon Glover","1844","Sylvan, Michigan","1920","Seattle, Washington"
"http://collection.cartermuseum.org/id/person-institution/merritt_dana_houghton","Merritt Dana Houghton","1848","Otsego, Michigan","1918","Seattle, Washington"
"http://collection.cartermuseum.org/id/person-institution/william_fuller","William Fuller","1842","Kinsale, Ireland","1922","Seattle, Washington"
"http://collection.cartermuseum.org/id/person-institution/richard_h._kern","Richard H. Kern","1821","Philadelphia, Pennsylvania","1853","Sevier Lake, Utah"
"http://collection.cartermuseum.org/id/person-institution/alfred_j._frueh","Alfred J. Frueh","1880","Lima, Ohio","1968","Sharon, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/elling_william_gollings","Elling William Gollings","1878","Pierce City, Idaho","1932","Sheridan, Wyoming"
"http://collection.cartermuseum.org/id/person-institution/oscar_bluemner","Oscar Bluemner","1867","Prenzlau, Germany","1938","South Braintree, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/james_gilchrist_benton","James Gilchrist Benton","1825","Lebanon, New Hampshire","1861","Springfield, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/martin_johnson_heade","Martin Johnson Heade","1819","Lumbersville, Pennsylvania","1904","St. Augustine, Florida"
"http://collection.cartermuseum.org/id/person-institution/charles_deas","Charles Deas","1818","Philadelphia, Pennsylvania","1867","St. Louis, Missouri"
"http://collection.cartermuseum.org/id/person-institution/charles_ferdinand_wimar","Charles Ferdinand Wimar","1828","Siegburg, Germany","1862","St. Louis, Missouri"
"http://collection.cartermuseum.org/id/person-institution/peter_rindisbacher","Peter Rindisbacher","1806","Bern, Switzerland","1834","St. Louis, Missouri"
"http://collection.cartermuseum.org/id/person-institution/solon_borglum","Solon Borglum","1868","Ogden, Utah","1922","Stamford, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/timothy_h._osullivan","Timothy H. O'Sullivan","1840","Ireland","1882","Staten Island, New York"
"http://collection.cartermuseum.org/id/person-institution/george_inness","George Inness","1825","Newburgh, New York","1894","Stirling, Scotland"
"http://collection.cartermuseum.org/id/person-institution/daniel_chester_french","Daniel Chester French","1850","Exeter, New Hampshire","1931","Stockbridge, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/worthington_whittredge","Worthington Whittredge","1820","Springfield, Ohio","1910","Summit, New Jersey"
"http://collection.cartermuseum.org/id/person-institution/david_f._barry","David F. Barry","1854","Honeoye Falls, New York","1934","Superior, Wisconsin"
"http://collection.cartermuseum.org/id/person-institution/paul_kane","Paul Kane","1810","Mallow, Ireland","1871","Toronto, Ontario, Canada"
"http://collection.cartermuseum.org/id/person-institution/clara_sipprell","Clara Sipprell","1885","Tillsonburg, Ontario, Canada","1975","Vermont"
"http://collection.cartermuseum.org/id/person-institution/henry_cheever_pratt","Henry Cheever Pratt","1803","Oxford, New Hampshire","1880","Wakefield, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/david_johnson","David Johnson","1827","New York, New York","1908","Walden, New York"
"http://collection.cartermuseum.org/id/person-institution/alexander_gardner","Alexander Gardner","1821","Paisley, Scotland","1882","Washington, D.C."
"http://collection.cartermuseum.org/id/person-institution/edward_seager","Edward Seager","1809","Maidstone, England","1886","Washington, D.C."
"http://collection.cartermuseum.org/id/person-institution/helen_m._post","Helen M. Post","1907","Bloomfield, New Jersey","1979","Washington, D.C."
"http://collection.cartermuseum.org/id/person-institution/john_k._hillers","John K. Hillers","1843","Hanover, Germany","1925","Washington, D.C."
"http://collection.cartermuseum.org/id/person-institution/seth_eastman","Seth Eastman","1808","Brunswick, Maine","1875","Washington, D.C."
"http://collection.cartermuseum.org/id/person-institution/james_walker","James Walker","1819","Northamptonshire, England","1889","Watsonville, California"
"http://collection.cartermuseum.org/id/person-institution/william_tylee_ranney","William Tylee Ranney","1813","Middletown, Connecticut","1857","West Hoboken, New Jersey"
"http://collection.cartermuseum.org/id/person-institution/john_henry_hill","John Henry Hill","1839","West Nyack, New York","1922","West Nyack, New York"
"http://collection.cartermuseum.org/id/person-institution/john_william_hill","John William Hill","1812","London, England","1879","West Nyack, New York"
"http://collection.americanart.si.edu/id/person-institution/1014","Eanger Irving Couse","1866","Saginaw","1936","Albuquerque"
"http://collection.americanart.si.edu/id/person-institution/1014"," E. I. Couse","1866","Saginaw","1936","Albuquerque"
"http://collection.americanart.si.edu/id/person-institution/1014"," E. Irving Couse","1866","Saginaw","1936","Albuquerque"
"http://collection.americanart.si.edu/id/person-institution/1806","De Lancey Gill","1859","Chester","1940","Alexandria"
"http://collection.americanart.si.edu/id/person-institution/1806"," De Lancey W. Gill","1859","Chester","1940","Alexandria"
"http://collection.americanart.si.edu/id/person-institution/1806"," DeLancey Gill","1859","Chester","1940","Alexandria"
"http://collection.americanart.si.edu/id/person-institution/1981","O. Louis Guglielmi","1906","Cairo","1956","Amagansett"
"http://collection.americanart.si.edu/id/person-institution/190","Ludolf Backhuysen","1631","Emden","1708","Amsterdam"
"http://collection.americanart.si.edu/id/person-institution/1103","Cyrus E. Dallin","1861","Springville","1944","Arlington Heights"
"http://collection.americanart.si.edu/id/person-institution/1103"," Cyrus Edwin Dallin","1861","Springville","1944","Arlington Heights"
"http://collection.americanart.si.edu/id/person-institution/1103"," C. E. Dallin","1861","Springville","1944","Arlington Heights"
"http://collection.americanart.si.edu/id/person-institution/1103"," Cyrus Dallin","1861","Springville","1944","Arlington Heights"
"http://collection.americanart.si.edu/id/person-institution/1566","James Fitzgerald","1899","Boston","1971","Arranmore"
"http://collection.americanart.si.edu/id/person-institution/1566"," James Edward Fitzgerald","1899","Boston","1971","Arranmore"
"http://collection.americanart.si.edu/id/person-institution/1566"," Jim Fitzgerald","1899","Boston","1971","Arranmore"
"http://collection.americanart.si.edu/id/person-institution/18566","Mary Jane Simes","1807","Baltimore","1872","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/18566"," Mary J. Simes","1807","Baltimore","1872","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/18566"," Mary J. Sims","1807","Baltimore","1872","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/18566","Miss M. J. Simes","1807","Baltimore","1872","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/18566","Mrs. John Floyd Yeates","1807","Baltimore","1872","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/2128","Charles W. Hawthorne","1872","Lodi","1930","Baltimore"
"http://collection.americanart.si.edu/id/person-institution/2160","John Heliker","1909","Yonkers","2000","Bar Harbor"
"http://collection.americanart.si.edu/id/person-institution/1809","Gregory Gillespie","1936","Roselle Park","2000","Belchertown"
"http://collection.americanart.si.edu/id/person-institution/1809"," Gregory Joseph Gillespie","1936","Roselle Park","2000","Belchertown"
"http://collection.americanart.si.edu/id/person-institution/1385","Pattie Richardson East","1894","Hardesty","1994","Benbrook"
"http://collection.americanart.si.edu/id/person-institution/140","Robert Arneson","1930","Benicia","1992","Benicia"
"http://collection.americanart.si.edu/id/person-institution/140"," Robert C. Arneson","1930","Benicia","1992","Benicia"
"http://collection.americanart.si.edu/id/person-institution/140"," Robert Carston Arneson","1930","Benicia","1992","Benicia"
"http://collection.americanart.si.edu/id/person-institution/1265","Richard Diebenkorn","1922","Portland","1993","Berkeley"
"http://collection.americanart.si.edu/id/person-institution/1265"," Richard Clifford Diebenkorn, Jr.","1922","Portland","1993","Berkeley"
"http://collection.americanart.si.edu/id/person-institution/1967","George Grosz","1893","Berlin","1959","Berlin"
"http://collection.americanart.si.edu/id/person-institution/2017","John Valentine Haidt","1700","Danzig","1780","Bethlehem"
"http://collection.americanart.si.edu/id/person-institution/1383","Ralph Earl","1751","Worcester County","1801","Bolton"
"http://collection.americanart.si.edu/id/person-institution/1383"," Ralph Earll","1751","Worcester County","1801","Bolton"
"http://collection.americanart.si.edu/id/person-institution/1383"," Ralph Earle","1751","Worcester County","1801","Bolton"
"http://collection.americanart.si.edu/id/person-institution/1047","Allan Rohan Crite","1910","Plainfield","2007","Boston"
"http://collection.americanart.si.edu/id/person-institution/1047"," Allan Crite","1910","Plainfield","2007","Boston"
"http://collection.americanart.si.edu/id/person-institution/1047"," Allan R. Crite","1910","Plainfield","2007","Boston"
"http://collection.americanart.si.edu/id/person-institution/1337","William M. S. Doyle","1769","Boston","1828","Boston"
"http://collection.americanart.si.edu/id/person-institution/1872","Sarah Goodridge","1788","Templeton","1853","Boston"
"http://collection.americanart.si.edu/id/person-institution/1759","Walter Gay","1856","Hingham","1937","Breau"
